ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
0.3919,33.522959184,8926,New York,2,NULL,3173719,0.8596938776,0.462633452,15250,0,0,1,Helene Fuld College of Nursing,https://www.helenefuld.edu/,100963,0,01015300,0,0,0,0,4.23999977111816,50.6300010681152,19.5100002288818,30.9400005340576,0.4305,0.5667,2,NULL,NULL,2,NY,557,0.1346,0.8654,0.0036,0.0018,0.0467,0.6373,0.1059,0.0018,0,0.0826,0.1203,40.802495,-73.943356,2024-06-13
NULL,22.875269978,5575,Herkimer,1,14530,1201786,0.5696544276,0.4365129501,11365,0,0,2,Herkimer County Community College,www.herkimer.edu/,36749,0,00478800,0.0055,0,0,0.1951,1.25,7.03999996185302,4.96999979019165,87.7399978637695,0.3759,0.4479,2,NULL,NULL,2,NY,1325,0.4038,0.5962,0.0264,0.0053,0.0181,0.1434,0.0943,0,0.0347,0.0392,0.6385,43.032738,-75.007206,2024-06-13
0.9264,21.52866242,5975,Hamburg,2,33299,5977299,0.5711252654,0.3813953488,24750,0,0,1,Hilbert College,www.hilbert.edu/,44617,0,00273500,0,0,0,0.1119,0.81000000238418,5.78000020980835,2.4300000667572,90.5299987792968,0.4343,0.4059,3,30,1006,3,NY,723,0.4329,0.5671,0.047,0.0041,0.0069,0.0802,0.0705,0,0.0124,0.1355,0.6432,42.75464,-78.820257,2024-06-13
0.6743,19.41356383,8890,Geneva,2,76415,204650152,0.5119680851,0.125,27000,0,0,1,Hobart William Smith Colleges,www.hws.edu/,68706,0,00273100,0.0158,0,0.0118,0,2.98000001907348,7.17999982833862,6.38999986648559,84.8499984741211,0.2237,1,3,NULL,1285,3,NY,1639,0.4857,0.5143,0.0354,0.0012,0.0287,0.0714,0.0897,0.0006,0.0616,0.0421,0.6693,42.858131,-76.985516,2024-06-13
0.6776,20.274509804,14068,Hempstead,2,62994,682366337,0.5923831071,0.2353177796,23621,0,0,1,Hofstra University,www.hofstra.edu/,68703,0,00273200,0.0234,0.0682,0.009,0.2557,4.65000009536743,11.4300003051757,9.80000019073486,77.4899978637695,0.2149,0.4244,3,NULL,1288,3,NY,6004,0.4295,0.5705,0.038,0.0023,0.1259,0.0891,0.1552,0.0003,0.0416,0.0202,0.5273,40.715959,-73.60078,2024-06-13
0.7907,20.721611722,6145,Houghton,2,46227,58361317,0.5787545788,0.1700819672,25250,0,0,1,Houghton University,www.houghton.edu/,41253,0,00273400,0.0682,0,0.0227,0.1955,1.26999998092651,4.57999992370605,2.49000000953674,91.5999984741211,0.354,0.5809,3,89,1193,3,NY,841,0.3686,0.6314,0.044,0.0048,0.0238,0.0773,0.0107,0,0.0523,0.0583,0.7289,42.426137,-78.155426,2024-06-13
NULL,22.997915877,6938,Troy,1,13683,7538957,0.4763167867,0.3937744885,10625,0,0,2,Hudson Valley Community College,www.hvcc.edu/,43844,0,00286800,0.0211,0.0217,0,0.1261,2.04999995231628,9.80000019073486,3.90000009536743,84.620002746582,0.2686,0.4718,2,NULL,NULL,2,NY,6103,0.5017,0.4983,0.0413,0.0044,0.076,0.115,0.0857,0.0031,0.0036,0.0041,0.6667,42.696509,-73.683734,2024-06-13
0.9256,19.421515562,10094,New Rochelle,2,54268,162713000,0.5297699594,0.3134772897,25999,0,0,1,Iona University,www.iona.edu/,70388,0,00273700,0.0563,0,0.0043,0.3824,4.63000011444091,12.9899997711181,14.8599996566772,72.9599990844726,0.2792,0.5559,3,30,1176,3,NY,2667,0.4743,0.5257,0.0225,0.003,0.0266,0.1162,0.2632,0.0015,0.0296,0.033,0.5043,40.925725,-73.788046,2024-06-13
0.9194,27.888888889,NULL,Rochester,2,NULL,NULL,0.9047619048,0.3513513514,PrivacySuppressed,0,0,3,Isabella Graham Hart School of Practical Nursing,www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/,NULL,0,02157900,0,0,0,0,2.07999992370605,14.9099998474121,5.42000007629394,78.1600036621093,0.6062,NULL,1,NULL,NULL,1,NY,213,0.1033,0.8967,0.0423,0,0.0094,0.5211,0.1033,0,0,0,0.3239,43.196863,-77.583321,2024-06-13
0.7773,19.438294383,9041,Ithaca,2,65274,337301846,0.5863058631,0.1375752365,24000,0,0,1,Ithaca College,www.ithaca.edu/,62403,0,00273900,0.0365,0,0.0038,0.1156,3.02999997138977,4.80000019073486,4.78000020980835,88.5500030517578,0.2029,0.797,3,NULL,NULL,3,NY,4778,0.4475,0.5525,0.0398,0.001,0.0373,0.0569,0.1034,0.0008,0.0234,0.0167,0.7206,42.422154,-76.494136,2024-06-13
NULL,22.891959799,6517,Jamestown,1,16464,NULL,0.5603015075,0.4079320113,10990,0,0,2,Jamestown Community College,https://www.sunyjcc.edu/,37700,0,00286900,0.0048,0.0097,0,0.1131,0.43999999761581,2.23000001907348,2.75,94.0800018310547,0.3035,0.2757,2,NULL,NULL,2,NY,1702,0.3778,0.6222,0.0253,0.0165,0.0118,0.0476,0.0817,0.0012,0.0405,0.0118,0.7638,42.1146,-79.218967,2024-06-13
NULL,23.693677649,6657,Watertown,1,17672,7152797,0.5805877115,0.4432216108,12000,0,0,2,Jefferson Community College,https://www.sunyjefferson.edu/,37376,0,00287000,0.0022,0.0153,0.0087,0.1812,0.94999998807907,5.84999990463256,4.05000019073486,88.8099975585937,0.3796,0.3457,2,NULL,NULL,2,NY,1664,0.3642,0.6358,0.0361,0.0072,0.018,0.0853,0.1052,0.0012,0.0078,0.0216,0.7175,43.992827,-75.935051,2024-06-13
0.5043,19.7,13051,New York,2,70174,137717607,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,0,1,Jewish Theological Seminary of America,www.jtsa.edu/,NULL,0,00274000,0,0,0,0,6.3600001335144,7.78000020980835,7.71999979019165,79.9899978637695,0.0602,0.5323,3,80,1449,3,NY,144,0.4375,0.5625,0,0.0069,0.0069,0,0.0486,0,0.0139,0.0764,0.8472,40.811892,-73.960582,2024-06-13
0.0743,19.639175258,7966,New York,2,76505,1063433596,0.4329896907,PrivacySuppressed,25500,0,0,1,The Juilliard School,www.juilliard.edu/,33606,0,00274200,0,0,0,0,6.51000022888183,11.0100002288818,11.8500003814697,74.3899993896484,0.1528,0.3616,3,NULL,NULL,3,NY,487,0.5318,0.4682,0.0801,0,0.1191,0.0821,0.076,0,0.2957,0,0.347,40.773725,-73.982913,2024-06-13
NULL,17.835820896,2074,Ossining,2,14775,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0,0,1,Kehilath Yakov Rabbinical Seminary,kehilathyakov.com/,25314,0,01054900,0,0,0,0,3.23000001907348,11.7600002288818,34.0999984741211,58.4500007629394,0.8553,NULL,3,80,NULL,3,NY,175,1,0,0,0,0,0,0,0,0,0,1,41.220521,-73.814887,2024-06-13
0.9364,25.170651278,6315,Keuka Park,2,51075,15706631,0.7584501237,0.3820840951,27000,0,0,1,Keuka College,https://www.keuka.edu/,51533,0,00274400,0.0818,0,0.0026,0.1662,1.00999999046325,5.55999994277954,2.74000000953674,90.5800018310547,0.402,1,3,NULL,1144,3,NY,1118,0.2567,0.7433,0.0331,0.0027,0.0063,0.059,0.0519,0.0009,0,0.0546,0.7916,42.615253,-77.090562,2024-06-13
0.734,20.475609756,9262,Syracuse,2,49680,189023268,0.6018651363,0.2229007634,23000,0,0,1,Le Moyne College,www.lemoyne.edu/,60174,0,00274800,0,0,0.0084,0.3233,1.90999996662139,6.5,3.79999995231628,87.8600006103515,0.3088,0.5197,3,30,1224,3,NY,2604,0.3798,0.6202,0.03,0.0027,0.0403,0.0695,0.0814,0.0004,0.0154,0.0157,0.7446,43.049192,-76.090435,2024-06-13
